Unnamed: 0,OID,PID,NID,Source,Yr_Comp,floors_no,Orig floors_no,socio_eco,label,WIAAM,NOUR,ARAM,NAIM,DAVID,ulabel,IMGAVAL,final_label
0,ACA_1,-999,ACA_YY6brg7WJUZkEC3iDANwtG,ACA,-999,-999,-999.0,-999,-999,1956-1971,1972-1990,-999,-999,,-999,1,1972-1990
1,ACA_2,-999,ACA_goGZxgFXsrgPVSP2sGQNZH,ACA,-999,-999,-999.0,-999,-999,1956-1971,1956-1971,-999,-999,,1956-1971,1,1956-1971
2,ACA_3,-999,ACA_VPHjmVC3kyr2Zh4ozKmn32,ACA,-999,-999,-999.0,-999,-999,1956-1971,1956-1971,-999,-999,,1956-1971,1,1956-1971
3,ACA_4,-999,ACA_YGX7JKrQioXvhfmv4PVXaa,ACA,-999,4,-999.0,Approximately 50% low-income zone,-999,1935-1955,1935-1955,-999,-999,,1935-1955,1,1935-1955
4,ACA_5,-999,ACA_YMFAvieNEnc5k2Fuy2FALg,ACA,-999,-999,-999.0,-999,-999,1935-1955,1935-1955,-999,-999,,1935-1955,1,1935-1955
5,ACA_6,-999,ACA_kZLsrR5SYaSKSK6a8EzsH5,ACA,-999,-999,-999.0,-999,-999,1956-1971,1956-1971,-999,-999,,1956-1971,1,1956-1971
6,ACA_7,-999,ACA_UbHEiuT5WrCdq9xk9VsQ7r,ACA,-999,-999,-999.0,-999,-999,1956-1971,-999,1956-1971,-999,,1956-1971,1,1956-1971
7,ACA_8,-999,ACA_TagLxiLYwXns65n3HtZfd3,ACA,-999,-999,-999.0,-999,-999,1935-1955,1935-1955,-999,-999,,1935-1955,1,1935-1955
8,ACA_9,-999,ACA_kp4nNLKLzLQkHZ8fNg4BR2,ACA,-999,-999,-999.0,-999,-999,1956-1971,1956-1971,-999,-999,,1956-1971,1,1956-1971
9,ACA_10,-999,ACA_ngVHg7BCoE9we9Zze4AQqP,ACA,-999,-999,-999.0,-999,-999,post1990,1972-1990,-999,-999,,-999,0,
10,ACA_11,-999,ACA_4zvRvuHJhBCVp3b7ytB6GU,ACA,-999,-999,-999.0,-999,-999,1956-1971,1956-1971,-999,-999,,1956-1971,0,
11,ACA_12,-999,ACA_HTbfYkWvxyaoiJAJPJFz3J,ACA,-999,-999,-999.0,-999,-999,1956-1971,1935-1955,-999,-999,,-999,0,
12,ACA_13,-999,ACA_hvxKB6bSaaVL4n2anSYUz9,ACA,-999,-999,-999.0,-999,-999,1956-1971,1972-1990,-999,-999,,-999,1,1956-1971
13,ACA_14,-999,ACA_Ta3pmchX5iDFtNLdNSLWPq,ACA,-999,6,-999.0,Approximately 50% low-income zone,-999,1956-1971,1956-1971,-999,-999,,1956-1971,1,1956-1971
14,ACA_15,-999,ACA_WPyGguqXDJNhFKYSkZeARm,ACA,-999,-999,-999.0,-999,-999,1956-1971,1956-1971,-999,-999,,1956-1971,1,1956-1971
15,ACA_16,-999,ACA_NzCbpt2geaJftTzY6bQ6K7,ACA,1932,-999,-999.0,-999,pre1935,-999,-999,-999,-999,,pre1935,0,
16,ACA_17,-999,ACA_7DBUubomM9f9DSmF5CQ296,ACA,1939,-999,-999.0,-999,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
17,ACA_18,-999,ACA_nAwaytH4e5UP3Ri4eQEthA,ACA,1940,-999,-999.0,-999,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
18,ACA_19,-999,ACA_AQydxQNZsrX8atYK8mrLVX,ACA,1948,-999,-999.0,-999,1935-1955,-999,-999,-999,-999,,1935-1955,0,
19,ACA_20,-999,ACA_B8fAeTYVtq8mJ2BNAjcuyF,ACA,1948,-999,-999.0,-999,1935-1955,-999,-999,-999,-999,,1935-1955,1,1935-1955
