NID,Source,floors_no,socio_eco,label,has_image,has_tabular,in_dataset_1,in_dataset_2,split,is_augmented,is_undersampled
ACA_goGZxgFXsrgPVSP2sGQNZH,ACA,,,1956-1971,True,False,False,True,train,False,False
ACA_VPHjmVC3kyr2Zh4ozKmn32,ACA,,,1956-1971,True,False,False,True,val,False,False
ACA_YGX7JKrQioXvhfmv4PVXaa,ACA,4.0,Approximately 50% low-income zone,1935-1955,True,True,True,True,train,False,False
ACA_YMFAvieNEnc5k2Fuy2FALg,ACA,,,1935-1955,True,False,False,True,train,False,False
ACA_kZLsrR5SYaSKSK6a8EzsH5,ACA,,,1956-1971,True,False,False,True,val,False,False
ACA_UbHEiuT5WrCdq9xk9VsQ7r,ACA,,,1956-1971,True,False,False,True,train,False,False
ACA_TagLxiLYwXns65n3HtZfd3,ACA,,,1935-1955,True,False,False,True,train,False,False
ACA_kp4nNLKLzLQkHZ8fNg4BR2,ACA,,,1956-1971,True,False,False,True,train,False,False
ACA_4zvRvuHJhBCVp3b7ytB6GU,ACA,,,1956-1971,False,False,False,False,train,False,False
ACA_Ta3pmchX5iDFtNLdNSLWPq,ACA,6.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,train,False,False
ACA_WPyGguqXDJNhFKYSkZeARm,ACA,,,1956-1971,True,False,False,True,train,False,False
ACA_NzCbpt2geaJftTzY6bQ6K7,ACA,,,pre1935,False,False,False,False,train,False,False
ACA_7DBUubomM9f9DSmF5CQ296,ACA,,,1935-1955,True,False,False,True,train,False,False
ACA_nAwaytH4e5UP3Ri4eQEthA,ACA,,,1935-1955,True,False,False,True,train,False,False
ACA_AQydxQNZsrX8atYK8mrLVX,ACA,,,1935-1955,False,False,False,False,train,False,False
ACA_B8fAeTYVtq8mJ2BNAjcuyF,ACA,,,1935-1955,True,False,False,True,train,False,False
ACA_4fLjRen5FPiRsTRZVjgVQT,ACA,,,1935-1955,True,False,False,True,train,False,False
ACA_3E3EyfRPuPeqkavmjCiBvN,ACA,,,1935-1955,False,False,False,False,train,False,False
ACA_PPJLRd3siSSCYKdsNbziiV,ACA,,,1956-1971,True,False,False,True,train,False,False
ACA_P7zYFgYpBfv5YF74fyKtMf,ACA,,,1956-1971,False,False,False,False,train,False,False
ACA_GA8hCEY53JY4YjcbsVXbUu,ACA,,,1956-1971,False,False,False,False,train,False,False
ACA_8nekHGVha29fuVbkhpzTSY,ACA,,,1956-1971,True,False,False,True,val,False,False
ACA_5pGjWCDhEQZrV7L9PKpTws,ACA,,,1956-1971,True,False,False,True,train,False,False
ACA_2rCVmYmgFFNSLzogYX4xpd,ACA,,,1956-1971,False,False,False,False,train,False,False
ACA_Fy4nPAURC9EE6b73UgkYWn,ACA,6.0,Approximately 50% low-income zone,1956-1971,True,True,True,True,test,False,False
ACA_BdFduw34EAUNHuHWpi6YKd,ACA,,,1956-1971,False,False,False,False,val,False,False
ACA_GxhdS3GbkhQDHzdXsAdxuR,ACA,,,1956-1971,True,False,False,True,train,False,False
ACA_TbdZGDqG6MCtnKN6gErZ3f,ACA,,,1956-1971,False,False,False,False,val,False,False
ACA_XEzr8QdF5UdhF8bUK6pjUd,ACA,,,1956-1971,False,False,False,False,train,False,False
ACA_4tAkysuK9MhJj9HZBS7Zmd,ACA,,,1956-1971,False,False,False,False,train,False,False
ACA_PH3bYpPPT5TiMwDBQt5Z8u,ACA,,,1956-1971,False,False,False,False,train,False,False
ACA_EQmaC7YXbMVPj4ruxP6kpH,ACA,,,1956-1971,False,False,False,False,train,False,False
ACA_JSZHMXcBsDTjrPnpcyRxu6,ACA,,,1956-1971,False,False,False,False,train,False,False
ACA_RVRrzy6XpRZ5UANUNo3Zds,ACA,,,1956-1971,False,False,False,False,train,False,False
ACA_cGVnk8oGzw22curYY5Yux3,ACA,,,1956-1971,True,False,False,True,train,False,False
ACA_5NTD5z7guYLtCkNxF8VCxc,ACA,,,1972-1990,False,False,False,False,train,False,False
