NID,Source,floors_no,socio_eco,label,has_image,has_tabular
ACA_goGZxgFXsrgPVSP2sGQNZH,ACA,,,1956-1971,True,False
ACA_VPHjmVC3kyr2Zh4ozKmn32,ACA,,,1956-1971,True,False
ACA_YGX7JKrQioXvhfmv4PVXaa,ACA,4.0,Approximately 50% low-income zone,1935-1955,True,True
ACA_YMFAvieNEnc5k2Fuy2FALg,ACA,,,1935-1955,True,False
ACA_kZLsrR5SYaSKSK6a8EzsH5,ACA,,,1956-1971,True,False
ACA_UbHEiuT5WrCdq9xk9VsQ7r,ACA,,,1956-1971,True,False
ACA_TagLxiLYwXns65n3HtZfd3,ACA,,,1935-1955,True,False
ACA_kp4nNLKLzLQkHZ8fNg4BR2,ACA,,,1956-1971,True,False
ACA_4zvRvuHJhBCVp3b7ytB6GU,ACA,,,1956-1971,False,False
ACA_Ta3pmchX5iDFtNLdNSLWPq,ACA,6.0,Approximately 50% low-income zone,1956-1971,True,True
ACA_WPyGguqXDJNhFKYSkZeARm,ACA,,,1956-1971,True,False
ACA_NzCbpt2geaJftTzY6bQ6K7,ACA,,,pre1935,False,False
ACA_7DBUubomM9f9DSmF5CQ296,ACA,,,1935-1955,True,False
ACA_nAwaytH4e5UP3Ri4eQEthA,ACA,,,1935-1955,True,False
ACA_AQydxQNZsrX8atYK8mrLVX,ACA,,,1935-1955,False,False
ACA_B8fAeTYVtq8mJ2BNAjcuyF,ACA,,,1935-1955,True,False
ACA_4fLjRen5FPiRsTRZVjgVQT,ACA,,,1935-1955,True,False
ACA_3E3EyfRPuPeqkavmjCiBvN,ACA,,,1935-1955,False,False
ACA_PPJLRd3siSSCYKdsNbziiV,ACA,,,1956-1971,True,False
ACA_P7zYFgYpBfv5YF74fyKtMf,ACA,,,1956-1971,False,False
ACA_GA8hCEY53JY4YjcbsVXbUu,ACA,,,1956-1971,False,False
ACA_8nekHGVha29fuVbkhpzTSY,ACA,,,1956-1971,True,False
ACA_5pGjWCDhEQZrV7L9PKpTws,ACA,,,1956-1971,True,False
ACA_2rCVmYmgFFNSLzogYX4xpd,ACA,,,1956-1971,False,False
ACA_Fy4nPAURC9EE6b73UgkYWn,ACA,6.0,Approximately 50% low-income zone,1956-1971,True,True
ACA_BdFduw34EAUNHuHWpi6YKd,ACA,,,1956-1971,False,False
ACA_GxhdS3GbkhQDHzdXsAdxuR,ACA,,,1956-1971,True,False
ACA_TbdZGDqG6MCtnKN6gErZ3f,ACA,,,1956-1971,False,False
ACA_XEzr8QdF5UdhF8bUK6pjUd,ACA,,,1956-1971,False,False
ACA_4tAkysuK9MhJj9HZBS7Zmd,ACA,,,1956-1971,False,False
ACA_PH3bYpPPT5TiMwDBQt5Z8u,ACA,,,1956-1971,False,False
ACA_EQmaC7YXbMVPj4ruxP6kpH,ACA,,,1956-1971,False,False
ACA_JSZHMXcBsDTjrPnpcyRxu6,ACA,,,1956-1971,False,False
ACA_RVRrzy6XpRZ5UANUNo3Zds,ACA,,,1956-1971,False,False
ACA_cGVnk8oGzw22curYY5Yux3,ACA,,,1956-1971,True,False
ACA_5NTD5z7guYLtCkNxF8VCxc,ACA,,,1972-1990,False,False
ACA_KCbRySt59eapVa5eAsKSbP,ACA,8.0,Approximately 50% low-income zone,1972-1990,False,True
ACA_C2fUGRRbAEtRkxFjtSffSP,ACA,,,1972-1990,False,False
ACA_2wMnn8QGiUJqwWSqN5bH3i,ACA,,,post1990,False,False
ACA_AQ5GkRab8d9YHSzfcZbe8D,ACA,,,post1990,False,False
ACA_QkpC6YdGspxvRfszeccfHj,ACA,,,post1990,False,False
ACA_jQESbLYc6Rsm3RJVYsBgYq,ACA,,,1972-1990,False,False
ALG_L4AciwFs9iaADF43o2fPBv,ALG,,,pre1935,True,False
ALG_ntLvB9RrdXtrHURmgHT9ph,ALG,,,post1990,False,False
ALG_QfEFe4BSCAg2yscDwLk7pb,ALG,,,pre1935,True,False
ALG_o3Y7sXot56sXA94AxBj8zR,ALG,,,pre1935,True,False
ALG_Qk4XacoPDQpXKWKegBPvUf,ALG,,,1935-1955,True,False
ALG_339JiL5DfTPDLuZVGdEV9v,ALG,,,pre1935,False,False
ALG_JDhr8TW3riLuzZaoEHN4m9,ALG,,,1956-1971,False,False
ALG_SH6goNNVyEMgS4Py3cbMKT,ALG,3.0,Approximately 50% low-income zone,pre1935,True,True
ALG_XjHWcHqy8oVJeZSBvPKpGD,ALG,3.0,Approximately 50% low-income zone,pre1935,False,True
ALG_ec99pysPfhvYup82ogib2S,ALG,,,pre1935,True,False
ALG_YKtyqSDyYVtcR2KaFzNdbD,ALG,,,pre1935,True,False
ALG_kCsY4QYaw8kDZWR4mYz3jd,ALG,,,pre1935,True,False
ALG_aq7fePjoWtG39jrFQpEHip,ALG,,,pre1935,True,False
ALG_UEC4qxQuCeXPeTKPKgpHtb,ALG,,,pre1935,True,False
ALG_jK6MFhXbFJerojj22KiXbr,ALG,,,pre1935,True,False
ALG_9SP4EiMv8s4b7p2kVKMM7h,ALG,,,pre1935,True,False
ALG_kr6xMwoMif5MXipBsDs739,ALG,,,pre1935,True,False
ALG_R8qpdu48rMVLunZ5rekA4w,ALG,,,pre1935,True,False
ALG_TS935ubffigKrf2qwWeq6f,ALG,,,pre1935,True,False
ALG_jpcoh4aNkG2LRU8bmXM2sR,ALG,,,pre1935,True,False
ALG_A4o6dyWWH3ZR4CdMFRrB2h,ALG,,,pre1935,False,False
ALG_YZWXhYyMw9bcyRxYB8ujjh,ALG,,,pre1935,True,False
ALG_oRdx2Lv5g8Z4n7WRWnUFbH,ALG,,,pre1935,True,False
ALG_93m8wktf9uZrhayrqDPJB6,ALG,,,pre1935,True,False
ALG_o5dnAbQZZW4C43gcbaJ5dR,ALG,,,pre1935,True,False
ALG_933ib3WsJfp4Qajo5hTEDq,ALG,3.0,Approximately 50% low-income zone,pre1935,False,True
ALG_TdjX7LiVzVJdUvG8tBmbnU,ALG,,,pre1935,True,False
ALG_J92B6pd7UXAA6xeuv4ZFZL,ALG,,,pre1935,False,False
ALG_Cf4umBKUXMNYbBDT8xWb9W,ALG,3.0,Approximately 50% low-income zone,pre1935,True,True
ALG_e3jPxqigV9LjYK3rZbaq8H,ALG,,,pre1935,True,False
ALG_beRHasXv3Abu28Tt9Qf5eZ,ALG,,,pre1935,True,False
ALG_kuYRPwaBSMBoLHuiXGePcy,ALG,,,pre1935,True,False
ALG_CBAeDhxkkv6AkqCp7axtuS,ALG,,,pre1935,True,False
ALG_7oJPyZK6Wkvho49fiNSyXU,ALG,,,1935-1955,True,False
ALG_jmjJ3T7sEn4EoQLiBYLX4D,ALG,3.0,Approximately 50% low-income zone,pre1935,False,True
ALG_gSSDvD4KxonfeNgHm4NGbk,ALG,,,pre1935,False,False
ALG_asbL5P4dUuqfA7zT6waYc6,ALG,,,pre1935,False,False
ALG_edGtS2UrRgw7nGZcTm3HUS,ALG,,,pre1935,True,False
ALG_fcUe8UJ9wJpRCbhAHkAqXU,ALG,,,pre1935,True,False
ALG_MmH8b67vbKqDj6Px37qSRh,ALG,3.0,Approximately 50% low-income zone,1956-1971,False,True
ALG_n3U2EMe75i4GrWRqFfFi3Q,ALG,3.0,Approximately 50% low-income zone,pre1935,True,True
ALG_ZnAK8a88LwpVNSKJvQ4BY9,ALG,,,pre1935,True,False
ALG_Brpq6NDaVanxbedGwATtV2,ALG,3.0,Approximately 50% low-income zone,pre1935,True,True
ALG_5PZ8zX83cTqrtJYQkipYJp,ALG,,,pre1935,True,False
ALG_N79LLzmYLaAuwvU3ks599J,ALG,3.0,Approximately 50% low-income zone,pre1935,True,True
ALG_Wu55ZSEjgjVvvRPDVTorJ8,ALG,,,pre1935,False,False
ALG_df3GWaVeJc6Nw8RRM8nW5F,ALG,3.0,Approximately 50% low-income zone,pre1935,True,True
ALG_beTUsq9CzYiWHmQvYxhLY4,ALG,,,pre1935,True,False
ALG_VioLKorqbdPGbBz2fzjPFB,ALG,,,1935-1955,True,False
ALG_YZSMStjjEjNZeAsXoK5BBY,ALG,,,pre1935,False,False
ALG_4CsnHoWBZJ6Gmr4KAcztn8,ALG,,,pre1935,True,False
ALG_LUvywdYmeV27amm9igX4zd,ALG,,,pre1935,True,False
